Date,Open,High,Low,Close,Adj Close,Volume
2020-07-10,6.540000,6.720000,6.530000,6.690000,6.662834,63423400
2020-07-13,6.760000,6.820000,6.640000,6.700000,6.672793,68492400
2020-07-14,6.660000,6.890000,6.570000,6.880000,6.852062,69509200
2020-07-15,7.090000,7.210000,7.030000,7.140000,7.111006,89827100
2020-07-16,7.060000,7.180000,6.990000,7.050000,7.021373,52345300
2020-07-17,7.060000,7.150000,6.980000,7.070000,7.041291,59958000
2020-07-20,7.010000,7.060000,6.860000,6.870000,6.842103,49065600
2020-07-21,6.940000,7.150000,6.900000,7.040000,7.011413,69875700
2020-07-22,6.990000,7.090000,6.900000,7.060000,7.031332,65508300
2020-07-23,7.060000,7.120000,6.970000,7.040000,7.011413,68628500
2020-07-24,7.020000,7.110000,6.820000,6.860000,6.832144,65449500
2020-07-27,6.840000,6.850000,6.690000,6.710000,6.682753,70704000
2020-07-28,6.700000,6.960000,6.690000,6.890000,6.862021,76033600
2020-07-29,6.990000,7.000000,6.520000,6.590000,6.563240,148442400
2020-07-30,6.500000,6.510000,6.260000,6.260000,6.234581,127526900
2020-07-31,6.250000,6.290000,6.000000,6.070000,6.045352,142595300
2020-08-03,6.140000,6.190000,6.020000,6.110000,6.085189,89769500
2020-08-04,6.100000,6.200000,6.100000,6.140000,6.115067,71041800
2020-08-05,6.170000,6.400000,6.140000,6.400000,6.374012,106097200
2020-08-06,6.330000,6.420000,6.280000,6.330000,6.304296,69915700
2020-08-07,6.290000,6.460000,6.250000,6.400000,6.374012,83064900
2020-08-10,6.430000,6.700000,6.380000,6.670000,6.642915,94345000
2020-08-11,6.870000,7.000000,6.690000,6.730000,6.702672,93141500
2020-08-12,6.870000,6.880000,6.580000,6.720000,6.692712,70143200
2020-08-13,6.590000,6.760000,6.590000,6.600000,6.573200,53428500
2020-08-14,6.540000,6.720000,6.470000,6.660000,6.632956,50397200
2020-08-17,6.670000,6.690000,6.450000,6.470000,6.443727,59029400
2020-08-18,6.490000,6.570000,6.410000,6.440000,6.413850,42686000
2020-08-19,6.470000,6.570000,6.350000,6.380000,6.354093,54362000
2020-08-20,6.330000,6.380000,6.210000,6.270000,6.244539,63764000
2020-08-21,6.250000,6.380000,6.230000,6.310000,6.284377,59851500
2020-08-24,6.350000,6.640000,6.300000,6.630000,6.603078,102785400
2020-08-25,6.650000,6.700000,6.480000,6.590000,6.563240,69449100
2020-08-26,6.620000,6.620000,6.440000,6.480000,6.453687,57304000
2020-08-27,6.520000,6.630000,6.450000,6.480000,6.453687,73387900
2020-08-28,6.510000,6.620000,6.470000,6.610000,6.583159,59161700
2020-08-31,6.510000,6.690000,6.260000,6.340000,6.314256,141873000
2020-09-01,6.270000,6.400000,6.150000,6.190000,6.164865,93181600
2020-09-02,6.200000,6.450000,6.170000,6.440000,6.413850,83816600
2020-09-03,6.390000,6.650000,6.280000,6.320000,6.294336,94124900
2020-09-04,6.430000,6.560000,6.260000,6.420000,6.393931,89675900
2020-09-08,6.320000,6.360000,6.130000,6.140000,6.115067,120646000
2020-09-09,6.200000,6.200000,6.020000,6.160000,6.134986,109044300
2020-09-10,6.170000,6.200000,6.000000,6.000000,5.975636,97324800
2020-09-11,6.040000,6.050000,5.930000,5.950000,5.925839,71918600
2020-09-14,5.990000,6.160000,5.960000,6.150000,6.125027,74002100
2020-09-15,6.170000,6.220000,6.020000,6.100000,6.075230,86350800
2020-09-16,6.100000,6.810000,6.050000,6.750000,6.722590,255986500
2020-09-17,6.810000,7.180000,6.670000,7.050000,7.021373,261040300
2020-09-18,6.920000,7.140000,6.870000,6.880000,6.852062,145280800
2020-09-21,6.630000,6.650000,6.230000,6.350000,6.324215,162739600
2020-09-22,6.400000,6.580000,6.210000,6.250000,6.224621,140901000
2020-09-23,6.280000,6.420000,6.100000,6.110000,6.085189,88644700
2020-09-24,6.100000,6.180000,6.000000,6.060000,6.035392,95469800
2020-09-25,6.060000,6.170000,6.020000,6.110000,6.095248,79778700
2020-09-28,6.230000,6.310000,6.180000,6.200000,6.185030,83292800
2020-09-29,6.210000,6.230000,6.060000,6.120000,6.105223,73571600
2020-09-30,6.140000,6.290000,6.140000,6.230000,6.214958,96781600
2020-10-01,6.270000,6.290000,6.110000,6.240000,6.224933,79175600
2020-10-02,6.050000,6.400000,6.050000,6.390000,6.374571,90076400
2020-10-05,6.390000,6.450000,6.320000,6.410000,6.394523,58283600
2020-10-06,6.430000,6.580000,6.110000,6.170000,6.155103,170066200
2020-10-07,6.220000,6.400000,6.210000,6.310000,6.294765,83286100
2020-10-08,6.360000,6.670000,6.340000,6.650000,6.633944,103167300
2020-10-09,7.070000,7.070000,6.700000,6.840000,6.823485,171507500
2020-10-12,6.920000,6.920000,6.740000,6.830000,6.813509,89036400
2020-10-13,6.790000,6.820000,6.660000,6.720000,6.703774,75287600
2020-10-14,6.720000,6.890000,6.720000,6.820000,6.803534,97948700
2020-10-15,6.700000,6.880000,6.610000,6.870000,6.853412,89252700
2020-10-16,6.960000,7.350000,6.940000,7.290000,7.272398,169147300
2020-10-19,7.390000,7.470000,7.230000,7.290000,7.272398,130837100
2020-10-20,7.350000,7.420000,7.270000,7.340000,7.322278,98420100
2020-10-21,7.280000,7.410000,7.270000,7.320000,7.302326,73811100
2020-10-22,7.330000,7.750000,7.320000,7.720000,7.701360,95766900
2020-10-23,7.930000,8.030000,7.560000,7.630000,7.611578,132563200
2020-10-26,7.460000,7.560000,7.280000,7.380000,7.362181,104254400
2020-10-27,7.400000,7.400000,7.090000,7.100000,7.082857,98170000
2020-10-28,7.510000,7.860000,7.410000,7.420000,7.402084,253494100
2020-10-29,7.660000,7.740000,7.310000,7.370000,7.352205,123298000
2020-10-30,7.340000,7.540000,7.290000,7.420000,7.402084,102370100
2020-11-02,7.500000,7.580000,7.330000,7.520000,7.501843,108878300
2020-11-03,7.650000,7.920000,7.540000,7.850000,7.831046,97872500
2020-11-04,7.690000,8.020000,7.530000,7.850000,7.831046,126925100
2020-11-05,7.950000,8.050000,7.910000,7.990000,7.970708,85806800
2020-11-06,8.020000,8.140000,7.960000,8.090000,8.070467,84125500
2020-11-09,9.350000,9.410000,8.610000,8.720000,8.698945,193282700
2020-11-10,8.820000,9.100000,8.750000,8.980000,8.958317,164733600
2020-11-11,9.110000,9.120000,8.830000,8.890000,8.868536,87440000
2020-11-12,8.760000,8.870000,8.670000,8.760000,8.738850,79518400
2020-11-13,8.860000,9.250000,8.850000,9.250000,9.227666,129980300
2020-11-16,9.610000,9.640000,9.420000,9.570000,9.546893,118772000
2020-11-17,9.450000,9.740000,9.330000,9.680000,9.656628,90348600
2020-11-18,9.970000,10.050000,9.730000,9.730000,9.706507,148865800
2020-11-19,9.620000,9.760000,9.510000,9.660000,9.636676,87177500
2020-11-20,9.640000,9.830000,9.590000,9.760000,9.736436,80135500
2020-11-23,9.860000,10.270000,9.860000,10.070000,10.045686,108197300
2020-11-24,10.710000,10.850000,10.400000,10.450000,10.424767,176288800
2020-11-25,10.530000,10.560000,10.340000,10.500000,10.474648,109872900
2020-11-27,10.550000,10.560000,10.310000,10.400000,10.374888,54154800
2020-11-30,10.390000,10.390000,9.960000,10.180000,10.155420,125104100
2020-12-01,10.330000,10.480000,10.110000,10.150000,10.125492,86767100
2020-12-02,10.080000,10.480000,10.010000,10.430000,10.404817,77235600
2020-12-03,10.400000,10.700000,10.390000,10.600000,10.574408,91452900
2020-12-04,10.670000,10.930000,10.510000,10.880000,10.853730,135020900
2020-12-07,10.890000,11.100000,10.760000,10.860000,10.833778,97404000
2020-12-08,10.820000,11.030000,10.790000,10.960000,10.933537,93378300
2020-12-09,11.000000,11.490000,11.000000,11.390000,11.362499,126135500
2020-12-10,11.080000,11.480000,11.060000,11.320000,11.292667,95671600
2020-12-11,11.280000,11.410000,11.020000,11.160000,11.133054,88985700
2020-12-14,11.270000,11.350000,10.790000,10.830000,10.803851,79317500
2020-12-15,10.950000,11.150000,10.650000,11.110000,11.083175,86613900
2020-12-16,11.130000,11.150000,10.900000,10.930000,10.903610,58815800
2020-12-17,10.940000,10.990000,10.800000,10.880000,10.853730,62446000
2020-12-18,10.780000,11.120000,10.740000,10.810000,10.793820,114753600
2020-12-21,10.470000,10.870000,10.360000,10.770000,10.753881,85818700
2020-12-22,10.710000,10.760000,10.490000,10.610000,10.594119,89007500
2020-12-23,10.680000,10.980000,10.620000,10.860000,10.843745,60504500
2020-12-24,10.850000,10.850000,10.620000,10.650000,10.634059,30049700
2020-12-28,10.700000,10.780000,10.580000,10.640000,10.624075,53796700
2020-12-29,10.660000,10.770000,10.540000,10.560000,10.544194,53035900
2020-12-30,10.580000,10.850000,10.550000,10.710000,10.693970,50621000
2020-12-31,10.650000,10.830000,10.580000,10.800000,10.783835,47702300
2021-01-04,10.890000,10.900000,10.400000,10.470000,10.454329,79949500
2021-01-05,10.430000,10.880000,10.420000,10.770000,10.753881,83700300
2021-01-06,10.830000,11.620000,10.830000,11.360000,11.342996,131584600
2021-01-07,11.560000,11.570000,11.240000,11.270000,11.253132,75289800
2021-01-08,11.290000,11.440000,11.160000,11.340000,11.323027,72719700
2021-01-11,11.110000,11.530000,11.060000,11.450000,11.432862,67253600
2021-01-12,11.510000,11.910000,11.410000,11.780000,11.762368,91439300
2021-01-13,11.780000,11.820000,11.520000,11.570000,11.552682,53713600
2021-01-14,11.610000,11.730000,11.580000,11.660000,11.642547,59209500
2021-01-15,11.600000,11.600000,11.250000,11.330000,11.313041,73609500
2021-01-19,11.480000,11.650000,11.400000,11.430000,11.412892,63499400
2021-01-20,11.500000,11.500000,11.300000,11.390000,11.372952,59015900
2021-01-21,11.400000,11.430000,11.070000,11.070000,11.053431,65602700
2021-01-22,10.970000,11.180000,10.900000,11.110000,11.093370,52919400
2021-01-25,11.140000,11.150000,10.770000,10.990000,10.973550,92020900
2021-01-26,12.030000,12.230000,11.200000,11.290000,11.273101,211803400
2021-01-27,11.080000,11.560000,10.640000,11.380000,11.362967,149439900
2021-01-28,11.410000,11.470000,11.070000,11.090000,11.073401,94099300
2021-01-29,11.000000,11.240000,10.670000,10.680000,10.664015,109258800
2021-02-01,10.860000,11.000000,10.640000,10.740000,10.723925,66685800
2021-02-02,10.880000,11.350000,10.840000,11.240000,11.223176,84465900
2021-02-03,11.240000,11.300000,11.070000,11.200000,11.183236,54214800
2021-02-04,11.230000,11.500000,11.190000,11.450000,11.432862,66767800
2021-02-05,11.510000,11.550000,11.320000,11.400000,11.382936,51818400
2021-02-08,11.470000,11.650000,11.410000,11.610000,11.592622,42454500
2021-02-09,11.560000,11.600000,11.410000,11.540000,11.522727,52738300
2021-02-10,11.590000,11.590000,11.380000,11.400000,11.382936,45559900
2021-02-11,11.390000,11.470000,11.190000,11.460000,11.442847,51829200
2021-02-12,11.410000,11.740000,11.380000,11.730000,11.712442,58439700
2021-02-16,11.820000,11.980000,11.780000,11.970000,11.952084,60312000
2021-02-17,11.840000,11.950000,11.760000,11.860000,11.842248,42940100
2021-02-18,11.840000,11.860000,11.510000,11.630000,11.612593,48854600
2021-02-19,11.720000,12.030000,11.680000,12.020000,12.002009,61049000
2021-02-22,12.070000,12.700000,12.030000,12.500000,12.481290,96636300
2021-02-23,12.600000,12.650000,12.180000,12.590000,12.571156,72042500
2021-02-24,12.800000,13.350000,12.650000,13.120000,13.100362,106791000
2021-02-25,13.100000,13.270000,12.660000,12.760000,12.740902,92337300
2021-02-26,12.680000,12.840000,12.410000,12.540000,12.521230,88729800
2021-03-01,12.920000,13.290000,12.790000,13.110000,13.090377,78037600
2021-03-02,13.150000,13.250000,12.970000,12.980000,12.960572,77205400
2021-03-03,13.090000,13.620000,13.050000,13.440000,13.419883,117572300
2021-03-04,13.880000,14.130000,13.180000,13.570000,13.549689,166561700
2021-03-05,13.800000,13.810000,13.140000,13.600000,13.589659,104975500
2021-03-08,14.210000,14.340000,13.810000,14.170000,14.159225,143717600
2021-03-09,14.100000,14.420000,13.830000,14.000000,13.989354,114467700
2021-03-10,13.650000,13.740000,12.920000,13.250000,13.239924,220230400
2021-03-11,12.690000,12.860000,11.950000,12.270000,12.260670,305805300
2021-03-12,12.240000,12.620000,12.230000,12.580000,12.570434,134551900
2021-03-15,12.740000,13.360000,12.730000,13.350000,13.339849,111402500
2021-03-16,13.330000,13.350000,13.070000,13.150000,13.140000,74456200
2021-03-17,13.200000,13.610000,13.130000,13.610000,13.599650,79227100
2021-03-18,13.590000,13.690000,13.190000,13.250000,13.239924,63761100
2021-03-19,13.200000,13.350000,12.980000,13.220000,13.209948,68472000
2021-03-22,13.160000,13.240000,12.930000,13.130000,13.120015,52789100
2021-03-23,12.960000,13.180000,12.550000,12.660000,12.650373,65655100
2021-03-24,12.760000,13.020000,12.500000,12.500000,12.490495,62073500
2021-03-25,12.400000,12.930000,12.230000,12.850000,12.840229,73391900
2021-03-26,12.950000,13.130000,12.710000,12.990000,12.980122,60524700
2021-03-29,12.920000,13.050000,12.780000,12.950000,12.940152,53762900
